,0
increment_0,0.0
increment_30,0.0
increment_60,0.0
increment_90,0.0
increment_120,0.0
increment_150,0.0
increment_180,0.0
increment_210,0.0
increment_240,0.0
increment_270,0.0
increment_300,0.3
increment_330,2.4
increment_360,5.7
increment_390,13.2
increment_420,26.7
increment_450,44.1
increment_480,2538.171413290657
increment_510,2556.4714132906565
increment_540,2578.9714132906565
increment_570,2607.4714132906565
increment_600,2643.171413290657
increment_630,2683.3714132906566
increment_660,2731.0714132906564
increment_690,2788.671413290657
increment_720,2856.7714132906567
increment_750,2935.0714132906564
increment_780,6890.638998853762
increment_810,6978.2389988537625
increment_840,7073.038998853762
increment_870,7178.038998853762
increment_900,7293.838998853762
increment_930,7420.138998853762
increment_960,7557.538998853762
increment_990,7706.638998853762
increment_1020,7869.838998853762
increment_1050,8043.2389988537625
increment_1080,8391.081016805923
increment_1110,8585.181016805924
increment_1140,9723.455886026897
increment_1170,9931.055886026897
increment_1200,17327.67756549991
increment_1230,17546.077565499912
increment_1260,18494.03367077775
increment_1290,18734.03367077775
increment_1320,89169.52007979096
increment_1350,89351.02007979096
increment_1380,137796.06355229198
increment_1410,137951.463552292
increment_1440,180938.0978557912
increment_1470,181073.39785579118
increment_1500,192420.49095409625
increment_1530,192562.09095409623
increment_1560,192712.99095409625
increment_1590,192874.09095409623
increment_1620,193044.49095409625
increment_1650,193225.09095409623
increment_1680,193415.29095409624
increment_1710,193614.49095409625
increment_1740,193823.89095409625
increment_1770,194044.99095409625
increment_1800,194282.29095409624
increment_1830,194528.59095409623
increment_1860,194787.49095409625
increment_1890,195058.39095409625
increment_1920,195349.1550901575
increment_1950,195639.5550901575
increment_1980,195940.7550901575
increment_2010,196252.4550901575
increment_2040,196573.7550901575
increment_2070,196907.0550901575
increment_2100,197250.2550901575
increment_2130,197605.4550901575
increment_2160,197972.3550901575
increment_2190,198348.5550901575
increment_2220,198795.1493729205
increment_2250,199196.8493729205
increment_2280,199608.4493729205
increment_2310,200030.8493729205
increment_2340,200465.24937292052
increment_2370,200913.74937292052
increment_2400,201373.6493729205
increment_2430,201843.74937292052
increment_2460,202324.3493729205
increment_2490,202814.5493729205
increment_2520,203314.3493729205
increment_2550,203824.9493729205
increment_2580,204345.4493729205
increment_2610,204877.9493729205
increment_2640,205421.24937292052
increment_2670,205973.8493729205
increment_2700,206550.3203867128
increment_2730,207128.72038671278
increment_2760,213523.77469293922
increment_2790,214121.07469293923
increment_2820,225841.4538363773
increment_2850,226450.1538363773
increment_2880,245774.38106460575
increment_2910,246389.38106460575
increment_2940,270291.7614054272
increment_2970,272615.67915878736
increment_3000,273245.0791587874
increment_3030,275927.93786059046
increment_3060,276581.93786059046
increment_3090,277246.73786059045
increment_3120,277921.1378605904
increment_3150,278604.8378605904
increment_3180,279299.03786059044
increment_3210,280006.73786059045
increment_3240,280724.93786059046
increment_3270,281452.43786059046
increment_3300,282190.73786059045
increment_3330,282940.73786059045
increment_3360,283703.3378605904
increment_3390,284474.93786059046
increment_3420,285258.8378605904
increment_3450,286054.73786059045
increment_3480,286862.93786059046
increment_3510,287680.1378605904
increment_3540,288509.3378605904
increment_3570,289350.8378605904
increment_3600,290201.6378605904
increment_3630,291064.1378605904
increment_3660,291937.1378605904
increment_3690,292822.43786059046
increment_3720,293721.23786059045
increment_3750,294629.93786059046
increment_3780,295549.43786059046
increment_3810,296479.43786059046
increment_3840,297416.3378605905
increment_3870,298362.5378605905
increment_3900,299321.3378605905
increment_3930,300293.6378605905
increment_3960,301279.73786059045
increment_3990,302276.3378605904
increment_4020,303284.93786059046
increment_4050,304302.8378605904
increment_4080,305329.43786059046
increment_4110,306365.03786059044
increment_4140,307411.7378605905
increment_4170,308469.2378605905
increment_4200,309536.63786059053
increment_4230,310615.13786059053
increment_4260,311706.5378605905
increment_4290,312812.63786059053
increment_4320,326311.761006637
increment_4350,327434.96100663696
increment_4380,329248.1116358877
increment_4410,330384.2116358877
increment_4440,331746.8733780794
increment_4470,332882.6733780794
increment_4500,334018.47337807936
increment_4530,335154.2733780794
