,0
increment_0,0.0
increment_30,0.0
increment_60,0.0
increment_90,0.0
increment_120,0.0
increment_150,0.0
increment_180,0.0
increment_210,0.0
increment_240,0.0
increment_270,0.6
increment_300,3.0
increment_330,9.6
increment_360,20.1
increment_390,35.4
increment_420,58.2
increment_450,87.0
increment_480,2297.145895231536
increment_510,2332.545895231536
increment_540,2376.345895231536
increment_570,2426.745895231536
increment_600,2484.9458952315363
increment_630,2555.4458952315363
increment_660,2631.645895231536
increment_690,2719.545895231536
increment_720,2941.500311118654
increment_750,3046.500311118654
increment_780,3163.2003111186536
increment_810,3389.4356771494677
increment_840,3530.7356771494674
increment_870,3680.4356771494677
increment_900,3840.0356771494676
increment_930,4008.6356771494675
increment_960,14885.922038570545
increment_990,15060.222038570544
increment_1020,15246.222038570544
increment_1050,15440.922038570545
increment_1080,15647.922038570545
increment_1110,15867.522038570545
increment_1140,16103.155928810695
increment_1170,16344.955928810696
increment_1200,21200.340714976053
increment_1230,21455.940714976052
increment_1260,23746.764603541826
increment_1290,24023.664603541823
increment_1320,48760.79406765076
increment_1350,49029.29406765076
increment_1380,112089.63061742159
increment_1410,112327.83061742158
increment_1440,206509.86172871807
increment_1470,206693.16172871806
increment_1500,206884.26172871806
increment_1530,207082.86172871807
increment_1560,207289.56172871805
increment_1590,207504.96172871804
increment_1620,207727.56172871805
increment_1650,207959.16172871806
increment_1680,208200.66172871806
increment_1710,208454.16172871806
increment_1740,208718.76172871806
increment_1770,208998.06172871805
increment_1800,209289.06172871805
increment_1830,209592.96172871804
increment_1860,209911.26172871806
increment_1890,210240.36172871807
increment_1920,210581.16172871806
increment_1950,210930.66172871803
increment_1980,211290.96172871802
increment_2010,211666.56172871802
increment_2040,212052.96172871802
increment_2070,212448.96172871802
increment_2100,212859.96172871802
increment_2130,213280.56172871802
increment_2160,213711.96172871802
increment_2190,214155.361728718
increment_2220,214610.16172871803
increment_2250,215077.56172871802
increment_2280,215557.861728718
increment_2310,216050.16172871803
increment_2340,216553.861728718
increment_2370,217071.66172871803
increment_2400,217601.76172871803
increment_2430,218142.96172871802
increment_2460,218693.76172871803
increment_2490,219253.26172871803
increment_2520,219827.16172871803
increment_2550,220412.16172871803
increment_2580,221006.76172871803
increment_2610,221611.861728718
increment_2640,222520.20050020888
increment_2670,223146.3005002089
increment_2700,223784.70050020888
increment_2730,224435.40050020893
increment_2760,225127.91551675656
increment_2790,225806.21551675655
increment_2820,227690.77070151386
increment_2850,228388.27070151386
increment_2880,247427.21157831184
increment_2910,248136.71157831184
increment_2940,248858.81157831184
increment_2970,249593.21157831184
increment_3000,250337.81157831184
increment_3030,251099.51157831185
increment_3060,251869.91157831185
increment_3090,252653.51157831185
increment_3120,253447.31157831184
increment_3150,254252.51157831185
increment_3180,255070.01157831185
increment_3210,255898.61157831186
increment_3240,256736.51157831185
increment_3270,257587.31157831184
increment_3300,258451.01157831185
increment_3330,259324.91157831185
increment_3360,260211.11157831186
increment_3390,261107.21157831184
increment_3420,262016.51157831185
increment_3450,262937.51157831185
increment_3480,263866.9115783118
increment_3510,264806.51157831185
increment_3540,265756.9115783118
increment_3570,266719.61157831183
increment_3600,267689.81157831184
increment_3630,268672.9115783118
increment_3660,269663.21157831186
increment_3690,270660.71157831186
increment_3720,271671.11157831183
increment_3750,272694.71157831186
increment_3780,273732.11157831183
increment_3810,274780.61157831183
increment_3840,275838.71157831186
increment_3870,276911.51157831185
increment_3900,277992.11157831183
increment_3930,279082.61157831183
increment_3960,280183.31157831184
increment_3990,281295.11157831183
increment_4020,282420.71157831186
increment_4050,283558.9115783118
increment_4080,284706.4115783118
increment_4110,285864.71157831186
increment_4140,287032.9115783118
increment_4170,288214.31157831184
increment_4200,289406.51157831185
increment_4230,290608.01157831185
increment_4260,291822.71157831186
increment_4290,293048.5115783119
increment_4320,298203.573442781
increment_4350,299449.173442781
increment_4380,300704.373442781
increment_4410,301961.673442781
increment_4440,303218.97344278096
increment_4470,304476.27344278095
increment_4500,305733.573442781
increment_4530,306990.873442781
