,0
increment_0,0.0
increment_30,0.0
increment_60,0.0
increment_90,0.0
increment_120,0.0
increment_150,0.0
increment_180,0.0
increment_210,0.9
increment_240,2.7
increment_270,5.4
increment_300,8.4
increment_330,15.9
increment_360,26.4
increment_390,41.4
increment_420,65.4
increment_450,98.7
increment_480,1830.4839813488134
increment_510,1868.5839813488135
increment_540,1916.5839813488135
increment_570,1973.2839813488133
increment_600,2039.2839813488133
increment_630,2118.4839813488134
increment_660,2208.183981348813
increment_690,2309.5839813488133
increment_720,2515.019620088853
increment_750,2635.6196200888535
increment_780,2768.5196200888536
increment_810,2908.919620088853
increment_840,3061.6196200888535
increment_870,3228.7196200888534
increment_900,3405.1196200888535
increment_930,3592.3196200888533
increment_960,12125.906530068698
increment_990,12314.306530068698
increment_1020,12516.806530068698
increment_1050,12731.906530068698
increment_1080,12961.406530068698
increment_1110,13204.106530068699
increment_1140,14345.857238537217
increment_1170,14610.157238537218
increment_1200,18802.177223673953
increment_1230,19081.47722367395
increment_1260,21039.763383982303
increment_1290,21334.063383982306
increment_1320,50027.23007073909
increment_1350,50320.03007073909
increment_1380,101452.74605614426
increment_1410,101717.94605614425
increment_1440,197933.14776539124
increment_1470,198136.24776539125
increment_1500,198353.14776539124
increment_1530,198579.04776539124
increment_1560,198815.44776539123
increment_1590,199063.84776539126
increment_1620,199322.74776539125
increment_1650,199593.04776539124
increment_1680,199871.14776539124
increment_1710,200161.24776539125
increment_1740,200463.04776539124
increment_1770,200777.14776539124
increment_1800,201104.14776539124
increment_1830,201444.94776539123
increment_1860,201796.84776539126
increment_1890,202161.34776539126
increment_1920,202537.54776539124
increment_1950,202920.64776539124
increment_1980,203315.44776539123
increment_2010,203723.44776539123
increment_2040,204143.44776539123
increment_2070,204571.24776539125
increment_2100,205006.24776539125
increment_2130,205450.84776539126
increment_2160,205908.94776539123
increment_2190,206376.34776539126
increment_2220,206857.84776539126
increment_2250,207349.54776539124
increment_2280,207851.74776539125
increment_2310,208364.44776539123
increment_2340,208892.74776539125
increment_2370,209431.84776539126
increment_2400,209982.04776539124
increment_2430,210543.34776539126
increment_2460,211115.44776539123
increment_2490,211697.14776539124
increment_2520,212287.84776539126
increment_2550,212891.44776539123
increment_2580,213505.84776539126
increment_2610,214130.44776539123
increment_2640,214765.84776539126
increment_2670,215411.74776539125
increment_2700,216067.84776539126
increment_2730,216738.34776539126
increment_2760,217824.94205755283
increment_2790,218512.84205755283
increment_2820,220419.8807743508
increment_2850,221122.4807743508
increment_2880,231519.80007014202
increment_2910,232235.90007014203
increment_2940,232965.50007014204
increment_2970,233705.00007014204
increment_3000,234453.50007014204
increment_3030,235216.70007014205
increment_3060,235991.90007014203
increment_3090,236777.00007014204
increment_3120,237573.50007014204
increment_3150,238379.90007014203
increment_3180,239198.30007014202
increment_3210,240026.00007014204
increment_3240,240865.10007014204
increment_3270,241715.00007014204
increment_3300,242576.60007014204
increment_3330,243449.00007014204
increment_3360,244334.00007014204
increment_3390,245231.300070142
increment_3420,246139.100070142
increment_3450,247059.800070142
increment_3480,247989.20007014205
increment_3510,248930.00007014204
increment_3540,249884.00007014204
increment_3570,250847.90007014203
increment_3600,251825.60007014204
increment_3630,252815.30007014202
increment_3660,253819.10007014204
increment_3690,254829.80007014202
increment_3720,255851.30007014202
increment_3750,256881.80007014202
increment_3780,257920.70007014205
increment_3810,258968.00007014204
increment_3840,260088.68473264825
increment_3870,261158.18473264825
increment_3900,262241.48473264824
increment_3930,263336.78473264823
increment_3960,264441.0847326482
increment_3990,265553.78473264823
increment_4020,266677.88473264826
increment_4050,267812.18473264825
increment_4080,268960.88473264826
increment_4110,270119.78473264823
increment_4140,271290.38473264826
increment_4170,272473.5847326482
increment_4200,273667.5847326482
increment_4230,274874.78473264823
increment_4260,276231.5057771085
increment_4290,277457.3057771085
increment_4320,290167.45760618505
increment_4350,291412.15760618506
increment_4380,292668.55760618503
increment_4410,293926.15760618506
increment_4440,295183.75760618504
increment_4470,296441.357606185
increment_4500,297698.95760618505
