,0
increment_0,0.0
increment_30,0.0
increment_60,0.0
increment_90,0.0
increment_120,0.0
increment_150,0.0
increment_180,0.0
increment_210,0.0
increment_240,0.0
increment_270,0.0
increment_300,0.0
increment_330,0.0
increment_360,0.0
increment_390,0.0
increment_420,0.0
increment_450,0.0
increment_480,0.0
increment_510,0.0
increment_540,455.56316166957663
increment_570,492.72503437878294
increment_600,536.3116631196397
increment_630,595.8336586213152
increment_660,627.8587554138253
increment_690,627.8587554138253
increment_720,797.6278812802203
increment_750,946.5603290047845
increment_780,946.5603290047845
increment_810,946.5603290047845
increment_840,1148.3044228726842
increment_870,1148.3044228726842
increment_900,1148.3044228726842
increment_930,1148.3044228726842
increment_960,1148.3044228726842
increment_990,1148.3044228726842
increment_1020,1195.6153288486662
increment_1050,1195.6153288486662
increment_1080,1195.6153288486662
increment_1110,1195.6153288486662
increment_1140,1195.6153288486662
increment_1170,1195.6153288486662
increment_1200,1195.6153288486662
increment_1230,1195.6153288486662
increment_1260,1195.6153288486662
increment_1290,9433.520322976488
increment_1320,10842.990951701915
increment_1350,35766.38269719454
increment_1380,36102.3530253081
increment_1410,63945.76346361246
increment_1440,64961.142215136315
increment_1470,83724.00462454536
increment_1500,85909.3929221006
increment_1530,86373.22029643625
increment_1560,86606.76236956073
increment_1590,89323.26083704442
increment_1620,89323.26083704442
increment_1650,90377.0284088338
increment_1680,91272.75890006227
increment_1710,91272.75890006227
increment_1740,91272.75890006227
increment_1770,91272.75890006227
increment_1800,91272.75890006227
increment_1830,91272.75890006227
increment_1860,91272.75890006227
increment_1890,91272.75890006227
increment_1920,91272.75890006227
increment_1950,91272.75890006227
increment_1980,91272.75890006227
increment_2010,91272.75890006227
increment_2040,91272.75890006227
increment_2070,91272.75890006227
increment_2100,91272.75890006227
increment_2130,91272.75890006227
increment_2160,91342.66252097895
increment_2190,91342.66252097895
increment_2220,91342.66252097895
increment_2250,91342.66252097895
increment_2280,92042.32794758474
increment_2310,92042.32794758474
increment_2340,92042.32794758474
increment_2370,92042.32794758474
increment_2400,92042.32794758474
increment_2430,92042.32794758474
increment_2460,92042.32794758474
increment_2490,92042.32794758474
increment_2520,92042.32794758474
increment_2550,92042.32794758474
increment_2580,92042.32794758474
increment_2610,92042.32794758474
increment_2640,92042.32794758474
increment_2670,92042.32794758474
increment_2700,92042.32794758474
increment_2730,93574.63389886744
increment_2760,93574.63389886744
increment_2790,100124.58515996652
increment_2820,101046.53122445176
increment_2850,133661.76459350827
increment_2880,133661.76459350827
increment_2910,192103.28397169133
increment_2940,194357.3683585888
increment_2970,195608.2191595693
increment_3000,199336.00421276997
increment_3030,203117.21513355235
increment_3060,205053.64028370558
increment_3090,209848.9564056286
increment_3120,213845.08731940403
increment_3150,213845.08731940403
increment_3180,213845.08731940403
increment_3210,213845.08731940403
increment_3240,213845.08731940403
increment_3270,213845.08731940403
increment_3300,213845.08731940403
increment_3330,213845.08731940403
increment_3360,213845.08731940403
increment_3390,213845.08731940403
increment_3420,213845.08731940403
increment_3450,213845.08731940403
increment_3480,213845.08731940403
increment_3510,213845.08731940403
increment_3540,213845.08731940403
increment_3570,213845.08731940403
increment_3600,213845.08731940403
increment_3630,213964.6276739076
increment_3660,213964.6276739076
increment_3690,213964.6276739076
increment_3720,213964.6276739076
increment_3750,213964.6276739076
increment_3780,213964.6276739076
increment_3810,213964.6276739076
increment_3840,213964.6276739076
increment_3870,213964.6276739076
increment_3900,213964.6276739076
increment_3930,213964.6276739076
increment_3960,213964.6276739076
increment_3990,213964.6276739076
increment_4020,213964.6276739076
increment_4050,213964.6276739076
increment_4080,213964.6276739076
increment_4110,213964.6276739076
increment_4140,214760.66738865312
increment_4170,216246.57185689226
increment_4200,216246.57185689226
increment_4230,221091.6290058623
increment_4260,221101.3816651325
increment_4290,249167.49341170143
increment_4320,250961.37863712234
increment_4350,320102.4215978347
increment_4380,321937.44904705416
increment_4410,322759.322086228
increment_4440,329907.97723275004
increment_4470,336734.1679453523
increment_4500,342352.4133757308
increment_4530,345518.19049059524
