,0
increment_0,0.0
increment_30,0.0
increment_60,0.0
increment_90,0.0
increment_120,0.0
increment_150,0.0
increment_180,0.0
increment_210,0.0
increment_240,0.0
increment_270,0.0
increment_300,0.0
increment_330,0.0
increment_360,0.0
increment_390,0.0
increment_420,0.0
increment_450,0.0
increment_480,0.0
increment_510,0.0
increment_540,0.0
increment_570,0.0
increment_600,0.0
increment_630,0.0
increment_660,0.0
increment_690,0.0
increment_720,0.0
increment_750,314.0965262999842
increment_780,624.9845144918711
increment_810,624.9845144918711
increment_840,624.9845144918711
increment_870,624.9845144918711
increment_900,624.9845144918711
increment_930,636.558365435342
increment_960,973.6277194132923
increment_990,15815.942790295952
increment_1020,15815.942790295952
increment_1050,15815.942790295952
increment_1080,15815.942790295952
increment_1110,15815.942790295952
increment_1140,15815.942790295952
increment_1170,15815.942790295952
increment_1200,15815.942790295952
increment_1230,15815.942790295952
increment_1260,15815.942790295952
increment_1290,15815.942790295952
increment_1320,15815.942790295952
increment_1350,16806.175247666237
increment_1380,16806.175247666237
increment_1410,48738.447018891195
increment_1440,48738.447018891195
increment_1470,83105.1249768998
increment_1500,83507.8656638291
increment_1530,83507.8656638291
increment_1560,83507.8656638291
increment_1590,83507.8656638291
increment_1620,83507.8656638291
increment_1650,83507.8656638291
increment_1680,83507.8656638291
increment_1710,83507.8656638291
increment_1740,83507.8656638291
increment_1770,83507.8656638291
increment_1800,83507.8656638291
increment_1830,83507.8656638291
increment_1860,83507.8656638291
increment_1890,83507.8656638291
increment_1920,83507.8656638291
increment_1950,83507.8656638291
increment_1980,83507.8656638291
increment_2010,83507.8656638291
increment_2040,83507.8656638291
increment_2070,83507.8656638291
increment_2100,83507.8656638291
increment_2130,83507.8656638291
increment_2160,83507.8656638291
increment_2190,83507.8656638291
increment_2220,83507.8656638291
increment_2250,83507.8656638291
increment_2280,83507.8656638291
increment_2310,83507.8656638291
increment_2340,83507.8656638291
increment_2370,83507.8656638291
increment_2400,83507.8656638291
increment_2430,83507.8656638291
increment_2460,83507.8656638291
increment_2490,83507.8656638291
increment_2520,83507.8656638291
increment_2550,83507.8656638291
increment_2580,83507.8656638291
increment_2610,83507.8656638291
increment_2640,83507.8656638291
increment_2670,83507.8656638291
increment_2700,83507.8656638291
increment_2730,83507.8656638291
increment_2760,83507.8656638291
increment_2790,83507.8656638291
increment_2820,83507.8656638291
increment_2850,84150.99076570134
increment_2880,84150.99076570134
increment_2910,114638.60857755509
increment_2940,115122.97796307738
increment_2970,115445.28608971555
increment_3000,115515.2330122748
increment_3030,115515.2330122748
increment_3060,115515.2330122748
increment_3090,115515.2330122748
increment_3120,115515.2330122748
increment_3150,115515.2330122748
increment_3180,115515.2330122748
increment_3210,115515.2330122748
increment_3240,115515.2330122748
increment_3270,115515.2330122748
increment_3300,115515.2330122748
increment_3330,115515.2330122748
increment_3360,115515.2330122748
increment_3390,115515.2330122748
increment_3420,115515.2330122748
increment_3450,115515.2330122748
increment_3480,115515.2330122748
increment_3510,115515.2330122748
increment_3540,115515.2330122748
increment_3570,115515.2330122748
increment_3600,115515.2330122748
increment_3630,115515.2330122748
increment_3660,115515.2330122748
increment_3690,115515.2330122748
increment_3720,115515.2330122748
increment_3750,115515.2330122748
increment_3780,115515.2330122748
increment_3810,115515.2330122748
increment_3840,115515.2330122748
increment_3870,115515.2330122748
increment_3900,115515.2330122748
increment_3930,115515.2330122748
increment_3960,115515.2330122748
increment_3990,115515.2330122748
increment_4020,115515.2330122748
increment_4050,115515.2330122748
increment_4080,115515.2330122748
increment_4110,115515.2330122748
increment_4140,115515.2330122748
increment_4170,115515.2330122748
increment_4200,115515.2330122748
increment_4230,115515.2330122748
increment_4260,115515.2330122748
increment_4290,116437.1572397543
increment_4320,116437.1572397543
increment_4350,141533.52486725376
increment_4380,141884.06573730777
increment_4410,141884.06573730777
increment_4440,147416.55294997146
increment_4470,147416.55294997146
increment_4500,147416.55294997146
increment_4530,147416.55294997146
increment_4560,147416.55294997146
increment_4590,147416.55294997146
increment_4620,147416.55294997146
