,0
increment_0,0.0
increment_30,0.0
increment_60,0.0
increment_90,0.0
increment_120,0.0
increment_150,0.0
increment_180,0.0
increment_210,0.6
increment_240,2.4
increment_270,4.8
increment_300,8.7
increment_330,14.1
increment_360,22.2
increment_390,38.1
increment_420,59.4
increment_450,85.2
increment_480,1421.5226130862713
increment_510,1453.6226130862715
increment_540,1492.9226130862714
increment_570,1538.5226130862713
increment_600,1590.1226130862715
increment_630,1651.6226130862715
increment_660,1721.2226130862714
increment_690,1799.5226130862713
increment_720,1885.9226130862714
increment_750,1981.3226130862715
increment_780,2089.9226130862717
increment_810,2206.0226130862716
increment_840,2329.0226130862716
increment_870,2461.6226130862715
increment_900,2607.4226130862717
increment_930,2766.1226130862715
increment_960,17859.582087432198
increment_990,18025.7820874322
increment_1020,18202.182087432197
increment_1050,18387.2820874322
increment_1080,20080.59468087739
increment_1110,20285.194680877394
increment_1140,20498.794680877392
increment_1170,20724.694680877394
increment_1200,27673.61309273887
increment_1230,27915.41309273887
increment_1260,28166.81309273887
increment_1290,28428.41309273887
increment_1320,53244.31469909434
increment_1350,53499.91469909434
increment_1380,105932.87980492448
increment_1410,106161.77980492449
increment_1440,200003.6466588039
increment_1470,200177.3466588039
increment_1500,200359.1466588039
increment_1530,200551.1466588039
increment_1560,200754.8466588039
increment_1590,200965.4466588039
increment_1620,201185.04665880388
increment_1650,201415.1466588039
increment_1680,201653.9466588039
increment_1710,201904.4466588039
increment_1740,202164.2466588039
increment_1770,202436.9466588039
increment_1800,202721.3466588039
increment_1830,203015.6466588039
increment_1860,203320.7466588039
increment_1890,203639.04665880388
increment_1920,203968.1466588039
increment_1950,204311.3466588039
increment_1980,204664.7466588039
increment_2010,205030.7466588039
increment_2040,205406.9466588039
increment_2070,205794.8466588039
increment_2100,206195.3466588039
increment_2130,206608.1466588039
increment_2160,207031.4466588039
increment_2190,207464.6466588039
increment_2220,207908.04665880388
increment_2250,208363.1466588039
increment_2280,208828.4466588039
increment_2310,209307.8466588039
increment_2340,209799.2466588039
increment_2370,210303.2466588039
increment_2400,210821.6466588039
increment_2430,211351.4466588039
increment_2460,211895.6466588039
increment_2490,212446.7466588039
increment_2520,213008.6466588039
increment_2550,213578.9466588039
increment_2580,214161.54665880388
increment_2610,214756.7466588039
increment_2640,215363.3466588039
increment_2670,215980.7466588039
increment_2700,216608.9466588039
increment_2730,217249.1466588039
increment_2760,218383.10992932305
increment_2790,219046.70992932306
increment_2820,223698.71192402756
increment_2850,224382.1119240276
increment_2880,240353.8065214877
increment_2910,241048.3065214877
increment_2940,241756.00652148772
increment_2970,242475.40652148772
increment_3000,243205.3065214877
increment_3030,243947.2065214877
increment_3060,244699.3065214877
increment_3090,245462.50652148772
increment_3120,246235.3065214877
increment_3150,247020.10652148773
increment_3180,247817.8065214877
increment_3210,248627.50652148772
increment_3240,249452.2065214877
increment_3270,250287.40652148772
increment_3300,251136.7065214877
increment_3330,251999.50652148772
increment_3360,252872.2065214877
increment_3390,253756.60652148773
increment_3420,254653.3065214877
increment_3450,255559.00652148772
increment_3480,256475.8065214877
increment_3510,257406.10652148773
increment_3540,258346.00652148772
increment_3570,259298.8065214877
increment_3600,260263.60652148773
increment_3630,261241.3065214877
increment_3660,262228.90652148775
increment_3690,263227.3065214877
increment_3720,264240.70652148774
increment_3750,265264.6065214877
increment_3780,266300.5065214877
increment_3810,267347.20652148774
increment_3840,268403.20652148774
increment_3870,269468.8065214877
increment_3900,270547.3065214877
increment_3930,271637.5065214877
increment_3960,272738.8065214877
increment_3990,273850.3065214877
increment_4020,274976.20652148774
increment_4050,276115.6065214877
increment_4080,277263.70652148774
increment_4110,278420.8065214877
increment_4140,279591.1065214877
increment_4170,280775.20652148774
increment_4200,281967.70652148774
increment_4230,283170.1065214877
increment_4260,284384.8065214877
increment_4290,285609.1065214877
increment_4320,288037.6897861286
increment_4350,289282.9897861286
increment_4380,290540.28978612856
increment_4410,291798.4897861286
increment_4440,293056.6897861286
increment_4470,294314.8897861286
increment_4500,295573.0897861286
