,0
increment_0,0.0
increment_30,0.0
increment_60,0.0
increment_90,0.0
increment_120,0.0
increment_150,0.0
increment_180,0.0
increment_210,1.5
increment_240,5.4
increment_270,10.2
increment_300,15.6
increment_330,24.6
increment_360,38.7
increment_390,60.3
increment_420,89.7
increment_450,130.2
increment_480,2683.5582853630212
increment_510,2731.8582853630214
increment_540,2786.4582853630213
increment_570,2847.9582853630213
increment_600,2919.6582853630216
increment_630,2998.8582853630214
increment_660,3089.1582853630216
increment_690,3190.2582853630215
increment_720,4042.818734961333
increment_750,4158.318734961333
increment_780,4284.918734961333
increment_810,4421.718734961333
increment_840,4569.318734961333
increment_870,4726.518734961333
increment_900,4894.818734961333
increment_930,5073.918734961333
increment_960,19329.84247768881
increment_990,19513.742477688807
increment_1020,19710.242477688807
increment_1050,19916.64247768881
increment_1080,20136.542477688807
increment_1110,20365.14247768881
increment_1140,21113.121767673376
increment_1170,21360.921767673382
increment_1200,25040.667357924627
increment_1230,25302.267357924626
increment_1260,27939.397025370443
increment_1290,28217.797025370444
increment_1320,55883.27607796708
increment_1350,56154.77607796708
increment_1380,128477.14501265917
increment_1410,128720.74501265917
increment_1440,225991.07345662173
increment_1470,226183.37345662172
increment_1500,226384.07345662173
increment_1530,226940.1313169591
increment_1560,227157.6313169591
increment_1590,227384.7313169591
increment_1620,227623.53131695912
increment_1650,227871.93131695912
increment_1680,228131.43131695912
increment_1710,228402.93131695912
increment_1740,228683.43131695912
increment_1770,228972.93131695912
increment_1800,229274.43131695912
increment_1830,229585.53131695912
increment_1860,229910.7313169591
increment_1890,230244.03131695912
increment_1920,230662.64357017056
increment_1950,231019.64357017056
increment_1980,231385.94357017055
increment_2010,231762.7435701705
increment_2040,232148.84357017052
increment_2070,232545.44357017052
increment_2100,232955.54357017053
increment_2130,233378.2435701705
increment_2160,233812.6435701705
increment_2190,234256.6435701705
increment_2220,234713.54357017053
increment_2250,235182.44357017052
increment_2280,235663.6435701705
increment_2310,236157.44357017052
increment_2340,236662.94357017052
increment_2370,237181.34357017052
increment_2400,237709.6435701705
increment_2430,238248.1435701705
increment_2460,238797.7435701705
increment_2490,239358.1435701705
increment_2520,239928.1435701705
increment_2550,240511.04357017053
increment_2580,241105.6435701705
increment_2610,241708.94357017052
increment_2640,242320.6435701705
increment_2670,242942.84357017052
increment_2700,243574.6435701705
increment_2730,244218.44357017052
increment_2760,245519.57427252136
increment_2790,246187.97427252136
increment_2820,249226.89955969845
increment_2850,249919.89955969845
increment_2880,269189.90914564265
increment_2910,269894.60914564267
increment_2940,270967.00559927267
increment_2970,271693.6055992727
increment_3000,272429.8055992727
increment_3030,273179.2055992727
increment_3060,273937.9055992727
increment_3090,274708.00559927267
increment_3120,275491.9055992727
increment_3150,276287.2055992727
increment_3180,277092.7055992727
increment_3210,277911.7055992727
increment_3240,278742.1055992727
increment_3270,279585.7055992727
increment_3300,280442.8055992727
increment_3330,281311.00559927267
increment_3360,282187.00559927267
increment_3390,283075.00559927267
increment_3420,283974.7055992727
increment_3450,284885.2055992727
increment_3480,285809.2055992727
increment_3510,286743.7055992727
increment_3540,287691.4055992727
increment_3570,288651.7055992727
increment_3600,289623.4055992727
increment_3630,290608.6055992727
increment_3660,291605.50559927267
increment_3690,292613.8055992727
increment_3720,293631.7055992727
increment_3750,294660.4055992727
increment_3780,295700.50559927267
increment_3810,296749.6055992727
increment_3840,297812.8055992727
increment_3870,298887.1055992727
increment_3900,299971.9055992727
increment_3930,301069.9055992727
increment_3960,302180.50559927267
increment_3990,303303.4055992727
increment_4020,304438.00559927267
increment_4050,305585.8055992727
increment_4080,306746.2055992727
increment_4110,307915.6055992727
increment_4140,309094.6055992727
increment_4170,310285.00559927267
increment_4200,311483.8055992727
increment_4230,312692.2055992727
increment_4260,313913.50559927267
increment_4290,315143.8055992727
increment_4320,320295.15621193685
increment_4350,321541.95621193683
increment_4380,322798.35621193686
increment_4410,324055.95621193683
increment_4440,325313.55621193687
increment_4470,326571.15621193685
increment_4500,327828.7562119368
