,0
increment_0,0.0
increment_30,0.0
increment_60,0.0
increment_90,0.0
increment_120,0.0
increment_150,0.0
increment_180,0.0
increment_210,0.0
increment_240,0.0
increment_270,0.0
increment_300,0.0
increment_330,0.0
increment_360,0.0
increment_390,0.0
increment_420,0.0
increment_450,0.0
increment_480,0.0
increment_510,0.0
increment_540,0.0
increment_570,0.0
increment_600,0.0
increment_630,0.0
increment_660,0.0
increment_690,0.0
increment_720,0.0
increment_750,0.0
increment_780,0.0
increment_810,0.0
increment_840,0.0
increment_870,0.0
increment_900,0.0
increment_930,0.0
increment_960,0.0
increment_990,0.0
increment_1020,0.0
increment_1050,0.0
increment_1080,0.0
increment_1110,0.0
increment_1140,0.0
increment_1170,0.0
increment_1200,0.0
increment_1230,0.0
increment_1260,0.0
increment_1290,2363.229667445817
increment_1320,2363.229667445817
increment_1350,29352.298326256318
increment_1380,29352.298326256318
increment_1410,59964.31561859197
increment_1440,59964.31561859197
increment_1470,84287.10702209751
increment_1500,84287.10702209751
increment_1530,84287.10702209751
increment_1560,84287.10702209751
increment_1590,84287.10702209751
increment_1620,84287.10702209751
increment_1650,84287.10702209751
increment_1680,84287.10702209751
increment_1710,84287.10702209751
increment_1740,84287.10702209751
increment_1770,84287.10702209751
increment_1800,84287.10702209751
increment_1830,84287.10702209751
increment_1860,84287.10702209751
increment_1890,84287.10702209751
increment_1920,84287.10702209751
increment_1950,84287.10702209751
increment_1980,84287.10702209751
increment_2010,84287.10702209751
increment_2040,84287.10702209751
increment_2070,84287.10702209751
increment_2100,84287.10702209751
increment_2130,84287.10702209751
increment_2160,84287.10702209751
increment_2190,84287.10702209751
increment_2220,84287.10702209751
increment_2250,84287.10702209751
increment_2280,84287.10702209751
increment_2310,84287.10702209751
increment_2340,84287.10702209751
increment_2370,84287.10702209751
increment_2400,84287.10702209751
increment_2430,84287.10702209751
increment_2460,84287.10702209751
increment_2490,84287.10702209751
increment_2520,84287.10702209751
increment_2550,84287.10702209751
increment_2580,84287.10702209751
increment_2610,84287.10702209751
increment_2640,84287.10702209751
increment_2670,84287.10702209751
increment_2700,84287.10702209751
increment_2730,84287.10702209751
increment_2760,84287.10702209751
increment_2790,84930.93772444833
increment_2820,84930.93772444833
increment_2850,86213.0697284718
increment_2880,86213.0697284718
increment_2910,97210.56541315513
increment_2940,97210.56541315513
increment_2970,97210.56541315513
increment_3000,97210.56541315513
increment_3030,97210.56541315513
increment_3060,97210.56541315513
increment_3090,97210.56541315513
increment_3120,97210.56541315513
increment_3150,97210.56541315513
increment_3180,97210.56541315513
increment_3210,97210.56541315513
increment_3240,97210.56541315513
increment_3270,97210.56541315513
increment_3300,97210.56541315513
increment_3330,97210.56541315513
increment_3360,97210.56541315513
increment_3390,97210.56541315513
increment_3420,97210.56541315513
increment_3450,97210.56541315513
increment_3480,97210.56541315513
increment_3510,97210.56541315513
increment_3540,97210.56541315513
increment_3570,97210.56541315513
increment_3600,97210.56541315513
increment_3630,97210.56541315513
increment_3660,97210.56541315513
increment_3690,97210.56541315513
increment_3720,97210.56541315513
increment_3750,97210.56541315513
increment_3780,97210.56541315513
increment_3810,97210.56541315513
increment_3840,97210.56541315513
increment_3870,97210.56541315513
increment_3900,97210.56541315513
increment_3930,97210.56541315513
increment_3960,97210.56541315513
increment_3990,97210.56541315513
increment_4020,97210.56541315513
increment_4050,97210.56541315513
increment_4080,97210.56541315513
increment_4110,97210.56541315513
increment_4140,97210.56541315513
increment_4170,97210.56541315513
increment_4200,97210.56541315513
increment_4230,97210.56541315513
increment_4260,97210.56541315513
increment_4290,97210.56541315513
increment_4320,97210.56541315513
increment_4350,97210.56541315513
increment_4380,97210.56541315513
increment_4410,97210.56541315513
increment_4440,97210.56541315513
increment_4470,97210.56541315513
increment_4500,97210.56541315513
increment_4530,97210.56541315513
increment_4560,97210.56541315513
increment_4590,97210.56541315513
increment_4620,97210.56541315513
increment_4650,97210.56541315513
increment_4680,97210.56541315513
increment_4710,97210.56541315513
increment_4740,97210.56541315513
increment_4770,97210.56541315513
